,doc_id,sentence
0,0,323
1,0,""
2,0,"as if i asked a common alms,"
3,0,"and in my wondering hand"
4,0,"a stranger pressed a kingdom,"
5,0,"and i, bewildered, stand—"
6,0,"as if i asked the orient"
7,0,"had it for me a morn—"
8,0,"and it should lift its purple dikes,"
9,0,and shatter me with dawn!
10,1,597
11,1,""
12,1,"it always felt to me—a wrong"
13,1,"to that old moses—done—"
14,1,"to let him see—the canaan—"
15,1,without the entering—
16,1,""
17,1,"and tho' in soberer moments—"
18,1,"no moses there can be"
19,1,"i'm satisfied—the romance"
20,1,in point of injury—
21,1,""
22,1,"surpasses sharper stated—"
23,1,"of stephen—or of paul—"
24,1,"for these—were only put to death—"
25,1,while god's adroiter will
26,1,""
27,1,"on moses—seemed to fasten"
28,1,"with tantalizing play"
29,1,"as boy—should deal with lesser boy—"
30,1,"to prove ability,"
31,1,""
32,1,"the fault—was doubtless israel's—"
33,1,"myself—had banned the tribes—"
34,1,"and ushered grand old moses"
35,1,in pentateuchal robes
36,1,""
37,1,"upon the broad possession"
38,1,"'twas little—but titled him—to see—"
39,1,"old man on nebo! late as this—"
40,1,my justice bleeds—for thee!
41,2,642
42,2,""
43,2,"me from myself—to banish—"
44,2,"had i art—"
45,2,"impregnable my fortress"
46,2,unto all heart—
47,2,""
48,2,"but since myself—assault me—"
49,2,"how have i peace"
50,2,"except by subjugating"
51,2,consciousness?
52,2,""
53,2,"and since we're mutual monarch"
54,2,"how this be"
55,2,"except by abdication—"
56,2,me—of me?
57,3,766
58,3,""
59,3,"my faith is larger than the hills—"
60,3,"so when the hills decay—"
61,3,"my faith must take the purple wheel"
62,3,to show the sun the way—
63,3,""
64,3,"'tis first he steps upon the vane—"
65,3,"and then—upon the hill—"
66,3,"and then abroad the world he go"
67,3,to do his golden will—
68,3,""
69,3,"and if his yellow feet should miss—"
70,3,"the bird would not arise—"
71,3,"the flowers would slumber on their stems—"
72,3,no bells have paradise—
73,3,""
74,3,"how dare i, therefore, stint a faith"
75,3,"on which so vast depends—"
76,3,"lest firmament should fail for me—"
77,3,the rivet in the bands
78,4,669
79,4,""
80,4,"no romance sold unto"
81,4,"could so enthrall a man"
82,4,"as the perusal of"
83,4,"his individual one—"
84,4,"'tis fiction's—when 'tis small enough"
85,4,to credit—'tisn't true!
86,5,"she rose to his requirement, dropped"
87,5,"the playthings of her life"
88,5,"to take the honorable work"
89,5,"of woman and of wife,"
90,5,""
91,5,"if aught she missed in her new day"
92,5,"of amplitude, or awe,"
93,5,"or first prospective, or the gold"
94,5,"in using wore away,"
95,5,""
96,5,"it lay unmentioned, as the sea"
97,5,"develops pearl and weed,"
98,5,"but only to himself is known"
99,5,"the fathoms they abide,"
100,6,586
101,6,""
102,6,"we talked as girls do—"
103,6,"fond, and late—"
104,6,"we speculated fair, on every subject, but the grave—"
105,6,"of ours, none affair—"
106,6,""
107,6,"we handled destinies, as cool—"
108,6,"as we—disposers—be—"
109,6,"and god, a quiet party"
110,6,to our authority—
111,6,""
112,6,"but fondest, dwelt upon ourself"
113,6,"as we eventual—be—"
114,6,"when girls to women, softly raised"
115,6,we—occupy—degree—
116,6,""
117,6,"we parted with a contract"
118,6,"to cherish, and to write"
119,6,"but heaven made both, impossible"
120,6,"before another night,"
121,7,"'tis anguish grander than delight"
122,7,"'tis resurrection pain—"
123,7,"the meeting bands of smitten face"
124,7,"we questioned to, again,"
125,7,""
126,7,"'tis transport wild as thrills the graves"
127,7,"when cerements let go"
128,7,"and creatures clad in miracle"
129,7,"go up by two and two,"
130,8,440
131,8,""
132,8,"'tis customary as we part"
133,8,"a trinket—to confer—"
134,8,"it helps to stimulate the faith"
135,8,when lovers be afar—
136,8,""
137,8,"'tis various—as the various taste—"
138,8,"clematis—journeying far—"
139,8,"presents me with a single curl"
140,8,of her electric hair—
141,9,466
142,9,""
143,9,"'tis little i—could care for pearls—"
144,9,"who own the ample sea—"
145,9,"or brooches—when the emperor—"
146,9,with rubies—pelteth me—
147,9,""
148,9,"or gold—who am the prince of mines—"
149,9,"or diamonds—when have i"
150,9,"a diadem to fit a dom—"
151,9,continual upon me—
152,10,335
153,10,""
154,10,"'tis not that dying hurts us so—"
155,10,"'tis living—hurts us more—"
156,10,"but dying—is a different way—"
157,10,a kind behind the door—
158,10,""
159,10,"the southern custom—of the bird—"
160,10,"that ere the frosts are due—"
161,10,"accepts a better latitude—"
162,10,"we—are the birds—that stay,"
163,10,""
164,10,"the shrivers round farmers' doors—"
165,10,"for whose reluctant crumb—"
166,10,"we stipulate—till pitying snows"
167,10,"persuade our feathers home,"
168,11,545
169,11,""
170,11,"'tis one by one—the father counts—"
171,11,"and then a tract between"
172,11,"set cypherless—to teach the eye"
173,11,the value of its ten—
174,11,""
175,11,"until the peevish student"
176,11,"acquire the quick of skill—"
177,11,"then numerals are dowered back—"
178,11,adorning all the rule—
179,11,""
180,11,"'tis mostly slate and pencil—"
181,11,"and darkness on the school"
182,11,"distracts the children's fingers—"
183,11,still the eternal rule
184,11,""
185,11,"regards least cypherer alike"
186,11,"with leader of the band—"
187,11,"and every separate urchin's sum—"
188,11,is fashioned for his hand—
189,12,"'tis opposites—entice—"
190,12,"deformed men—ponder grace—"
191,12,"bright fires—the blanketless—"
192,12,the lost—day's face—
193,12,""
194,12,"the blind—esteem it be"
195,12,"enough estate—to see—"
196,12,"the captive—strangles new—"
197,12,for deeming—beggars—play—
198,12,""
199,12,"to lack—enamor thee—"
200,12,"tho' the divinity—"
201,12,"be only"
202,12,me—
203,13,281
204,13,""
205,13,"'tis so appalling—it exhilarates—"
206,13,"so over horror, it half captivates—"
207,13,"the soul stares after it, secure—"
208,13,"a sepulchre, fears frost, no more—"
209,13,""
210,13,"to scan a ghost, is faint—"
211,13,"but grappling, conquers it—"
212,13,"how easy, torment, now—"
213,13,suspense kept sawing so—
214,13,""
215,13,"the truth, is bald, and cold—"
216,13,"but that will hold—"
217,13,"if any are not sure—"
218,13,"we show them—prayer—"
219,13,"but we, who know,"
220,13,"stop hoping, now—"
221,13,""
222,13,"looking at death, is dying—"
223,13,"just let go the breath—"
224,13,"and not the pillow at your cheek"
225,13,so slumbereth—
226,13,""
227,13,"others, can wrestle—"
228,13,"yours, is done—"
229,13,"and so of woe, bleak dreaded—come,"
230,13,"it sets the fright at liberty—"
231,13,"and terror's free—"
232,13,"gay, ghastly, holiday!"
233,14,172
234,14,""
235,14,"'tis so much joy! 'tis so much joy!"
236,14,"if i should fail, what poverty!"
237,14,"and yet, as poor as i,"
238,14,"have ventured all upon a throw!"
239,14,"have gained! yes! hesitated so—"
240,14,this side the victory!
241,14,""
242,14,"life is but life! and death, but death!"
243,14,"bliss is, but bliss, and breath but breath!"
244,14,"and if indeed i fail,"
245,14,"at least, to know the worst, is sweet!"
246,14,"defeat means nothing but defeat,"
247,14,"no drearier, can befall!"
248,14,""
249,14,"and if i gain! oh gun at sea!"
250,14,"oh bells, that in the steeples be!"
251,14,"at first, repeat it slow!"
252,14,"for heaven is a different thing,"
253,14,"conjectured, and waked sudden in—"
254,14,and might extinguish me!
255,15,908
256,15,""
257,15,"'tis sunrise—little maid—hast thou"
258,15,"no station in the day?"
259,15,"'twas not thy wont, to hinder so—"
260,15,retrieve thine industry—
261,15,""
262,15,"'tis noon—my little maid—"
263,15,"alas—and art thou sleeping yet?"
264,15,"the lily—waiting to be wed—"
265,15,the bee—hast thou forgot?
266,15,""
267,15,"my little maid—'tis night—alas"
268,15,"that night should be to thee"
269,15,"instead of morning—had'st thou broached"
270,15,"thy little plan to die—"
271,15,"dissuade thee, if i could not, sweet,"
272,15,i might have aided—thee—
273,16,538
274,16,""
275,16,"'tis true—they shut me in the cold—"
276,16,"but then—themselves were warm"
277,16,"and could not know the feeling 'twas—"
278,16,forget it—lord—of them—
279,16,""
280,16,"let not my witness hinder them"
281,16,"in heavenly esteem—"
282,16,"no paradise could be—conferred"
283,16,through their beloved blame—
284,16,""
285,16,"the harm they did—was short—and since"
286,16,"myself—who bore it—do—"
287,16,"forgive them—even as myself—"
288,16,or else—forgive not me—
289,17,625
290,17,""
291,17,"'twas a long parting—but the time"
292,17,"for interview—had come—"
293,17,"before the judgment seat of god—"
294,17,the last—and second time
295,17,""
296,17,"these fleshless lovers met—"
297,17,"a heaven in a gaze—"
298,17,"a heaven of heavens—the privilege"
299,17,of one another's eyes—
300,17,""
301,17,"no lifetime—on them—"
302,17,"appareled as the new"
303,17,"unborn—except they had beheld—"
304,17,born infiniter—now—
305,17,""
306,17,"was bridal—e'er like this?"
307,17,"a paradise—the host—"
308,17,"and cherubim—and seraphim—"
309,17,the unobtrusive guest—
310,18,973
311,18,""
312,18,"'twas awkward, but it fitted me—"
313,18,"an ancient fashioned heart—"
314,18,"its only lore—its steadfastness—"
315,18,in change—unerudite—
316,18,""
317,18,"it only moved as do the suns—"
318,18,"for merit of return—"
319,18,"or birds—confirmed perpetual"
320,18,by alternating zone—
321,18,""
322,18,"i only have it not tonight"
323,18,"in its established place—"
324,18,"for technicality of death—"
325,18,omitted in the lease—
326,19,445
327,19,""
328,19,"'twas just this time, last year, i died,"
329,19,"i know i heard the corn,"
330,19,"when i was carried by the farms—"
331,19,it had the tassels on—
332,19,""
333,19,"i thought how yellow it would look—"
334,19,"when richard went to mill—"
335,19,"and then, i wanted to get out,"
336,19,"but something held my will,"
337,19,""
338,19,"i thought just how red—apples wedged"
339,19,"the stubble's joints between—"
340,19,"and the carts stooping round the fields"
341,19,to take the pumpkins in—
342,19,""
343,19,"i wondered which would miss me, least,"
344,19,"and when thanksgiving, came,"
345,19,"if father'd multiply the plates—"
346,19,to make an even sum—
347,19,""
348,19,"and would it blur the christmas glee"
349,19,"my stocking hang too high"
350,19,"for any santa claus to reach"
351,19,the altitude of me—
352,19,""
353,19,"but this sort, grieved myself,"
354,19,"and so, i thought the other way,"
355,19,"how just this time, some perfect year—"
356,19,"themself, should come to me—"
357,20,414
358,20,""
359,20,"'twas like a maelstrom, with a notch,"
360,20,"that nearer, every day,"
361,20,"kept narrowing its boiling wheel"
362,20,until the agony
363,20,""
364,20,"toyed coolly with the final inch"
365,20,"of your delirious hem—"
366,20,"and you dropt, lost,"
367,20,"when something broke—"
368,20,and let you from a dream—
369,20,""
370,20,"as if a goblin with a gauge—"
371,20,"kept measuring the hours—"
372,20,"until you felt your second"
373,20,"weigh, helpless, in his paws—"
374,20,""
375,20,"and not a sinew—stirred—could help,"
376,20,"and sense was setting numb—"
377,20,"when god—remembered—and the fiend"
378,20,"let go, then, overcome—"
379,20,""
380,20,"as if your sentence stood—pronounced—"
381,20,"and you were frozen led"
382,20,"from dungeon's luxury of doubt"
383,20,"to gibbets, and the dead—"
384,20,""
385,20,"and when the film had stitched your eyes"
386,20,"a creature gasped ""reprieve""!"
387,20,"which anguish was the utterest—then—"
388,20,"to perish, or to live?"
389,21,394
390,21,""
391,21,"'twas love—not me—"
392,21,"oh punish—pray—"
393,21,"the real one died for thee—"
394,21,just him—not me—
395,21,""
396,21,"such guilt—to love thee—most!"
397,21,"doom it beyond the rest—"
398,21,"forgive it—last—"
399,21,'twas base as jesus—most!
400,21,""
401,21,"let justice not mistake—"
402,21,"we two—looked so alike—"
403,21,"which was the guilty sake—"
404,21,'twas love's—now strike!
405,22,344
406,22,""
407,22,"'twas the old—road—through pain—"
408,22,"that unfrequented—one—"
409,22,"with many a turn—and thorn—"
410,22,that stops—at heaven—
411,22,""
412,22,"this—was the town—she passed—"
413,22,"there—where she—rested—last—"
414,22,"then—stepped more fast—"
415,22,"the little tracks—close prest—"
416,22,"then—not so swift—"
417,22,"slow—slow—as feet did weary—grow—"
418,22,then—stopped—no other track!
419,22,""
420,22,"wait! look! her little book—"
421,22,"the leaf—at love—turned back—"
422,22,"her very hat—"
423,22,"and this worn shoe just fits the track—"
424,22,herself—though—fled!
425,22,""
426,22,"another bed—a short one—"
427,22,"women make—tonight—"
428,22,"in chambers bright—"
429,22,"too out of sight—though—"
430,22,"for our hoarse good night—"
431,22,to touch her head!
432,23,519
433,23,""
434,23,"'twas warm—at first—like us—"
435,23,"until there crept upon"
436,23,"a chill—like frost upon a glass—"
437,23,"till all the scene—be gone,"
438,23,""
439,23,"the forehead copied stone—"
440,23,"the fingers grew too cold"
441,23,"to ache—and like a skater's brook—"
442,23,the busy eyes—congealed—
443,23,""
444,23,"it straightened—that was all—"
445,23,"it crowded cold to cold—"
446,23,"it multiplied indifference—"
447,23,as pride were all it could—
448,23,""
449,23,"and even when with cords—"
450,23,"'twas lowered, like a weight—"
451,23,"it made no signal, nor demurred,"
452,23,"but dropped like adamant,"
453,24,682
454,24,""
455,24,"'twould ease—a butterfly—"
456,24,"elate—a bee—"
457,24,"thou'rt neither—"
458,24,neither—thy capacity—
459,24,""
460,24,"but, blossom, were i,"
461,24,"i would rather be"
462,24,"thy moment"
463,24,than a bee's eternity—
464,24,""
465,24,"content of fading"
466,24,"is enough for me—"
467,24,fade i unto divinity—
468,24,""
469,24,"and dying—lifetime—"
470,24,"ample as the eye—"
471,24,her least attention raise on me—
472,25,"a bird came down the walk,"
473,25,"he did not know i saw;"
474,25,"he bit an angle-worm in halves"
475,25,"and ate the fellow, raw,"
476,25,""
477,25,"and then he drank a dew"
478,25,"from a convenient grass,"
479,25,"and then hopped sidewise to the wall"
480,25,"to let a beetle pass,"
481,25,""
482,25,"he glanced with rapid eyes"
483,25,"that hurried all abroad,--"
484,25,"they looked like frightened beads, i thought;"
